color_description,created_at,current_price,discount_amount,discount_percent,group_key,image_url,messaging,original_price,price,price_display,product_code,product_type,product_url,promo_display,promo_message,source_url,subtitle,target,title,badge
Multi-Color,"Mon, 24 Nov 2025 15:12:25 GMT",29.97,15.03,33,kmmH6T,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/40349d98-ea37-4135-9a2e-c7252b41854c/JDG+MINI+ME+FLIGHT+LEGGING+SET.png",Extra 25% w/ BFRIDAY,45,$29.97,"$29.97 (was $45, 33% off)",05C553-023,discount,https://www.nike.com/t/jordan-mini-me-flight-leggings-set-baby-2-piece-set-kmmH6T/05C553-023,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Baby 2-Piece Set,Nike Sale US,Jordan Mini Me Flight Leggings Set,
Magic Flamingo,"Mon, 24 Nov 2025 15:12:16 GMT",19.97,6.03,23,Q0QJYbl4,https://static.nike.com/a/images/t_default/a82f49bd-4f5d-4042-8882-ee4f384e7763/NB+NKG+FLOW-RAL+BDYST+LEGGING.png,Extra 25% w/ BFRIDAY,26,$19.97,"$19.97 (was $26, 23% off)",06M618-ACG,discount,https://www.nike.com/t/flow-ral-baby-2-piece-bodysuit-and-leggings-set-Q0QJYbl4/06M618-ACG,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Baby 2-Piece Bodysuit and Leggings Set,Nike Sale US,Nike Flow-Ral,
Blue Beyond,"Mon, 24 Nov 2025 15:12:16 GMT",19.97,6.03,23,Q0QJYbl4,https://static.nike.com/a/images/t_default/995beee6-6304-4f91-83e7-d285b1c5cc92/NB+NKG+FLOW-RAL+BDYST+LEGGING.png,Extra 25% w/ BFRIDAY,26,$19.97,"$19.97 (was $26, 23% off)",06M618-UAV,discount,https://www.nike.com/t/flow-ral-baby-2-piece-bodysuit-and-leggings-set-Q0QJYbl4/06M618-UAV,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Baby 2-Piece Bodysuit and Leggings Set,Nike Sale US,Nike Flow-Ral,
Echo Pink,"Mon, 24 Nov 2025 15:11:46 GMT",25.97,6.03,18,irWOLkEz,https://static.nike.com/a/images/t_default/40cc38ad-2283-4afe-814a-5fd172de1a4e/NB+NKG+SWOOSH+MOTION+2+PC+SET.png,,32,$25.97,"$25.97 (was $32, 18% off)",06M700-AB6,discount,https://www.nike.com/t/swoosh-motion-baby-2-piece-set-irWOLkEz/06M700-AB6,,,https://www.nike.com/w/sale-3yaep,Baby 2-Piece Set,Nike Sale US,Nike Swoosh Motion,
Doll,"Mon, 24 Nov 2025 15:11:46 GMT",25.97,6.03,18,irWOLkEz,https://static.nike.com/a/images/t_default/79ff77d0-94df-4af1-9499-c10196a82983/NB+NKG+SWOOSH+MOTION+2+PC+SET.png,,32,$25.97,"$25.97 (was $32, 18% off)",06M700-P6I,discount,https://www.nike.com/t/swoosh-motion-baby-2-piece-set-irWOLkEz/06M700-P6I,,,https://www.nike.com/w/sale-3yaep,Baby 2-Piece Set,Nike Sale US,Nike Swoosh Motion,
Playful Pink,"Mon, 24 Nov 2025 15:11:51 GMT",28.97,3.03,9,Md9IGCAR,https://static.nike.com/a/images/t_default/fc847570-326b-4c86-8779-f595e09b4411/ESSENT+RUFFLE+SHORT+SET.png,Extra 25% w/ BFRIDAY,32,$28.97,"$28.97 (was $32, 9% off)",06M799-AFN,discount,https://www.nike.com/t/essentials-baby-0-9m-2-piece-ruffle-shorts-set-Md9IGCAR/06M799-AFN,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Baby (0-9M) 2-Piece Ruffle Shorts Set,Nike Sale US,Nike Essentials,
Doll,"Mon, 24 Nov 2025 15:11:51 GMT",24.97,7.03,22,Md9IGCAR,https://static.nike.com/a/images/t_default/fbb130a9-b4fe-4843-90e5-6eee97543728/ESSENT+RUFFLE+SHORT+SET.png,Extra 25% w/ BFRIDAY,32,$24.97,"$24.97 (was $32, 22% off)",06M799-P6I,discount,https://www.nike.com/t/essentials-baby-0-9m-2-piece-ruffle-shorts-set-Md9IGCAR/06M799-P6I,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Baby (0-9M) 2-Piece Ruffle Shorts Set,Nike Sale US,Nike Essentials,
Cobalt Bliss,"Mon, 24 Nov 2025 15:12:23 GMT",28.97,7.03,19,PePLsCpl,https://static.nike.com/a/images/t_default/b262f3c2-39bd-4a01-af88-320946a647da/ESSENTIALS+TANK+2PK+ROMPER.png,Extra 25% w/ BFRIDAY,36,$28.97,"$28.97 (was $36, 19% off)",06N045-U8K,discount,https://www.nike.com/t/essentials-baby-0-9m-2-pack-romper-set-PePLsCpl/06N045-U8K,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Baby (0-9M) 2-Pack Romper Set,Nike Sale US,Nike Essentials,
Black,"Mon, 24 Nov 2025 15:12:13 GMT",19.97,6.03,23,WyntRM7Z,https://static.nike.com/a/images/t_default/f275078c-45e9-4869-b8c3-dfc92db6e277/WILD+WARMTH+VELOUR+BABY+S.png,Extra 25% w/ BFRIDAY,26,$19.97,"$19.97 (was $26, 23% off)",06N575-023,discount,https://www.nike.com/t/wild-warmth-baby-3-6m-2-piece-velour-set-WyntRM7Z/06N575-023,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Baby (3-6M) 2-Piece Velour Set,Nike Sale US,Nike Wild Warmth,
Dark Grey/White,"Mon, 24 Nov 2025 15:11:13 GMT",41.97,13.03,23,4hP7qK,https://static.nike.com/a/images/t_default/b4397191-df12-4249-94b4-7a6ba83ddfa1/NK+CORE+PERF+RVRSBL+BELT.png,Extra 25% w/ BFRIDAY,55,$41.97,"$41.97 (was $55, 23% off)",11188A-156,discount,https://www.nike.com/t/core-perforated-reversible-belt-4hP7qK/11188A-156,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Perforated Reversible Belt,Nike Sale US,Nike Core,
